match_id,player,rank,kills
1,linus,3,2
1,felix,4,2
1,noah,1,1
2,markus,2,6
2,patson,1,1
2,basil,3,3
3,linus,1,6
3,rico,2,1
3,basil,4,1
3,sean,3,0
4,linus,1,3
4,rico,2,5
4,felix,4,0
4,noah,3,1
5,markus,3,2
5,rico,1,5
5,felix,2,3
5,sean,4,0
6,markus,1,5
6,felix,2,4
6,basil,4,0
6,sean,3,0
7,linus,2,2
7,felix,4,1
7,patson,1,5
7,noah,3,2
8,markus,2,2
8,rico,4,3
8,basil,1,0
8,noah,3,1
8,sean,3,1
9,rico,3,2
9,basil,1,4
10,markus,3,5
10,noah,2,1
10,rayan,1,3
11,linus,1,1
11,felix,4,5
11,noah,2,3
11,sean,3,1
12,linus,2,3
12,markus,3,3
12,rico,1,3
12,basil,4,0
13,rico,1,7
13,felix,2,2
13,noah,3,1
13,rayan,4,0
14,felix,1,5
14,noah,3,0
14,rayan,2,0
14,ferdi,4,1
15,markus,1,4
15,noah,2,3
15,sean,3,1
16,linus,1,4
16,patson,2,6
16,rayan,3,0
17,felix,2,1
17,basil,3,2
17,rayan,1,5
17,ferdi,4,0
18,linus,2,2
18,markus,3,4
18,sean,1,2
19,felix,1,2
19,patson,4,1
19,rayan,2,5
19,ferdi,3,0
20,linus,2,4
20,rico,1,5
20,ferdi,4,0
21,markus,1,5
21,basil,3,3
21,rayan,4,0
21,ferdi,2,0
22,linus,3,2
22,markus,2,5
22,rico,1,3
22,ferdi,4,1
23,felix,3,3
23,patson,2,2
23,rayan,1,5
24,linus,2,2
24,rico,1,1
