match_id,player,rank,kills
1,luca,3,2
1,markus,4,1
1,linus,2,2
1,rico,1,4
2,linus,2,3
2,rico,1,4
2,pius,4,0
2,basil,3,3
3,linus,4,1
3,rico,3,4
3,luca,1,1
3,markus,2,4
4,luca,4,3
4,markus,1,4
4,basil,3,0
4,pius,2,2
5,markus,3,2
5,pius,1,1
5,linus,4,1
5,rico,2,3
6,pius,1,4
6,rico,2,4
6,max,4,0
6,luca,3,3
7,pius,2,2
7,rico,3,1
7,markus,1,6
7,basil,4,1
8,pius,2,2
8,markus,1,6
8,basil,4,0
8,luca,3,2
9,pius,4,0
9,markus,1,3
9,luca,3,2
9,linus,2,5
10,markus,3,2
10,linus,4,3
10,basil,1,2
10,rico,2,2
11,basil,1,1
11,rico,4,2
11,pius,3,3
11,luca,2,3
12,basil,3,2
12,pius,1,1
12,luca,4,2
12,linus,2,5
13,pius,3,4
13,linus,1,2
13,markus,4,2
13,rico,2,2
14,linus,1,5
14,rico,4,1
14,luca,2,4
14,basil,3,0
15,luca,4,2
15,basil,2,0
15,markus,1,6
15,pius,3,2
16,basil,2,0
16,markus,3,1
16,pius,1,3
17,basil,1,3
17,luca,3,1
17,linus,2,1
17,rico,4,0
18,basil,3,1
18,luca,4,0
18,linus,1,2
18,pius,2,4
19,basil,2,3
19,luca,1,2
19,linus,3,3
19,markus,4,2
20,basil,3,1
20,luca,4,1
20,linus,1,3
20,pius,2,4
21,luca,3,2
21,linus,2,1
21,pius,1,2
21,markus,4,2
22,luca,2,0
22,pius,1,6
22,markus,3,0
22,basil,4,1
23,luca,4,1
23,pius,2,3
23,markus,3,3
23,linus,1,2
24,luca,4,0
24,pius,2,3
24,linus,1,4
24,basil,3,3
25,luca,2,1
25,pius,1,3
25,linus,3,1
25,markus,4,2
26,luca,2,4
26,pius,4,1
26,linus,1,5
26,basil,3,1
27,luca,3,4
27,linus,2,2
27,basil,4,0
27,markus,1,4
28,luca,4,2
28,linus,2,2
28,markus,3,3
28,pius,1,2
29,luca,4,1
29,markus,2,2
29,pius,1,6
29,basil,3,0
